location,displayName
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.603476999999998, 'longitude': -80.3531371}","{'text': 'Busway & W Indigo St', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.782036, 'longitude': -80.1959249}","{'text': 'Terminal Brightline Buses', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.603476999999998, 'longitude': -80.3531371}","{'text': 'Busway & W Indigo St', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.782036, 'longitude': -80.1959249}","{'text': 'Terminal Brightline Buses', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.7973461, 'longitude': -80.2573395}","{'text': 'Greyhound: Bus Station', 'languageCode': 'en'}"
"{'latitude': 26.1256925, 'longitude': -80.1458129}","{'text': 'Bus station', 'languageCode': 'en'}"
"{'latitude': 26.7125706, 'longitude': -80.0622611}","{'text': 'Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.6013752, 'longitude': -80.39451}","{'text': 'Larry and Penny Thompson Memorial Park and Campground', 'languageCode': 'en'}"
"{'latitude': 25.5752202, 'longitude': -80.4517978}","{'text': 'Encore Miami Everglades', 'languageCode': 'en'}"
"{'latitude': 26.0123017, 'longitude': -80.2067015}","{'text': 'Hollywood KOA', 'languageCode': 'en'}"
"{'latitude': 26.0727445, 'longitude': -80.3356858}","{'text': 'Davie / Ft. Lauderdale KOA Holiday', 'languageCode': 'en'}"
"{'latitude': 26.0160026, 'longitude': -80.3197739}","{'text': 'CB Smith County Campground', 'languageCode': 'en'}"
"{'latitude': 25.6889699, 'longitude': -80.1632616}","{'text': 'Lake Park', 'languageCode': 'en'}"
"{'latitude': 25.5248398, 'longitude': -80.17447370000001}","{'text': 'Boca Chita Key Campground', 'languageCode': 'en'}"
"{'latitude': 25.7111059, 'longitude': -80.3936239}","{'text': 'Camping Shangrila USA', 'languageCode': 'en'}"
"{'latitude': 26.1712822, 'longitude': -80.16091159999999}","{'text': 'Easterlin Park', 'languageCode': 'en'}"
"{'latitude': 26.1281367, 'longitude': -80.3602276}","{'text': 'Markham Park Campground', 'languageCode': 'en'}"
"{'latitude': 25.9855317, 'longitude': -80.15329369999999}","{'text': 'Holiday Park', 'languageCode': 'en'}"
"{'latitude': 26.174723999999998, 'longitude': -80.22615499999999}","{'text': 'Jrretreatllc', 'languageCode': 'en'}"
"{'latitude': 26.163673, 'longitude': -80.171486}","{'text': 'Paradise Island RV Resort', 'languageCode': 'en'}"
"{'latitude': 25.5336933, 'longitude': -80.4605812}","{'text': 'Camp Freedom', 'languageCode': 'en'}"
"{'latitude': 25.4537468, 'longitude': -80.1955418}","{'text': 'Elliott Key Campgrounds', 'languageCode': 'en'}"
"{'latitude': 25.9827309, 'longitude': -80.339523}","{'text': 'Evans castle', 'languageCode': 'en'}"
"{'latitude': 26.036721999999997, 'longitude': -80.1754023}","{'text': 'T.Y. (Topeekeegee Yugnee) Park', 'languageCode': 'en'}"
"{'latitude': 25.4460633, 'longitude': -80.4718789}","{'text': 'Southern Comfort RV Resort', 'languageCode': 'en'}"
"{'latitude': 25.398370399999997, 'longitude': -80.6564366}","{'text': 'Long Pine Key Campground', 'languageCode': 'en'}"
"{'latitude': 26.288968999999998, 'longitude': -80.11762019999999}","{'text': 'Breezy Hill Resort', 'languageCode': 'en'}"
"{'latitude': 25.6013752, 'longitude': -80.39451}","{'text': 'Larry and Penny Thompson Memorial Park and Campground', 'languageCode': 'en'}"
"{'latitude': 26.0123017, 'longitude': -80.2067015}","{'text': 'Hollywood KOA', 'languageCode': 'en'}"
"{'latitude': 26.0727445, 'longitude': -80.3356858}","{'text': 'Davie / Ft. Lauderdale KOA Holiday', 'languageCode': 'en'}"
"{'latitude': 25.5752202, 'longitude': -80.4517978}","{'text': 'Encore Miami Everglades', 'languageCode': 'en'}"
"{'latitude': 26.0160026, 'longitude': -80.3197739}","{'text': 'CB Smith County Campground', 'languageCode': 'en'}"
"{'latitude': 25.6889699, 'longitude': -80.1632616}","{'text': 'Lake Park', 'languageCode': 'en'}"
"{'latitude': 26.1712822, 'longitude': -80.16091159999999}","{'text': 'Easterlin Park', 'languageCode': 'en'}"
"{'latitude': 25.9855317, 'longitude': -80.15329369999999}","{'text': 'Holiday Park', 'languageCode': 'en'}"
"{'latitude': 26.1281367, 'longitude': -80.3602276}","{'text': 'Markham Park Campground', 'languageCode': 'en'}"
"{'latitude': 25.5248398, 'longitude': -80.17447370000001}","{'text': 'Boca Chita Key Campground', 'languageCode': 'en'}"
"{'latitude': 26.174723999999998, 'longitude': -80.22615499999999}","{'text': 'Jrretreatllc', 'languageCode': 'en'}"
"{'latitude': 26.163673, 'longitude': -80.171486}","{'text': 'Paradise Island RV Resort', 'languageCode': 'en'}"
"{'latitude': 25.834573199999998, 'longitude': -80.33427420000001}","{'text': 'National Yarda', 'languageCode': 'en'}"
"{'latitude': 25.9827309, 'longitude': -80.339523}","{'text': 'Evans castle', 'languageCode': 'en'}"
"{'latitude': 26.036721999999997, 'longitude': -80.1754023}","{'text': 'T.Y. (Topeekeegee Yugnee) Park', 'languageCode': 'en'}"
"{'latitude': 25.4537468, 'longitude': -80.1955418}","{'text': 'Elliott Key Campgrounds', 'languageCode': 'en'}"
"{'latitude': 26.288968999999998, 'longitude': -80.11762019999999}","{'text': 'Breezy Hill Resort', 'languageCode': 'en'}"
"{'latitude': 25.5336933, 'longitude': -80.4605812}","{'text': 'Camp Freedom', 'languageCode': 'en'}"
"{'latitude': 25.981913, 'longitude': -80.17129899999999}","{'text': 'Embassy RV Park', 'languageCode': 'en'}"
"{'latitude': 25.7111059, 'longitude': -80.3936239}","{'text': 'Camping Shangrila USA', 'languageCode': 'en'}"
"{'latitude': 25.6013752, 'longitude': -80.39451}","{'text': 'Larry and Penny Thompson Memorial Park and Campground', 'languageCode': 'en'}"
"{'latitude': 26.0123017, 'longitude': -80.2067015}","{'text': 'Hollywood KOA', 'languageCode': 'en'}"
"{'latitude': 26.0727445, 'longitude': -80.3356858}","{'text': 'Davie / Ft. Lauderdale KOA Holiday', 'languageCode': 'en'}"
"{'latitude': 26.0160026, 'longitude': -80.3197739}","{'text': 'CB Smith County Campground', 'languageCode': 'en'}"
"{'latitude': 25.5752202, 'longitude': -80.4517978}","{'text': 'Encore Miami Everglades', 'languageCode': 'en'}"
"{'latitude': 25.834573199999998, 'longitude': -80.33427420000001}","{'text': 'National Yarda', 'languageCode': 'en'}"
"{'latitude': 26.1712822, 'longitude': -80.16091159999999}","{'text': 'Easterlin Park', 'languageCode': 'en'}"
"{'latitude': 25.9855317, 'longitude': -80.15329369999999}","{'text': 'Holiday Park', 'languageCode': 'en'}"
"{'latitude': 26.1281367, 'longitude': -80.3602276}","{'text': 'Markham Park Campground', 'languageCode': 'en'}"
"{'latitude': 25.9827309, 'longitude': -80.339523}","{'text': 'Evans castle', 'languageCode': 'en'}"
"{'latitude': 26.174723999999998, 'longitude': -80.22615499999999}","{'text': 'Jrretreatllc', 'languageCode': 'en'}"
"{'latitude': 25.6889699, 'longitude': -80.1632616}","{'text': 'Lake Park', 'languageCode': 'en'}"
"{'latitude': 26.163673, 'longitude': -80.171486}","{'text': 'Paradise Island RV Resort', 'languageCode': 'en'}"
"{'latitude': 26.036721999999997, 'longitude': -80.1754023}","{'text': 'T.Y. (Topeekeegee Yugnee) Park', 'languageCode': 'en'}"
"{'latitude': 25.5248398, 'longitude': -80.17447370000001}","{'text': 'Boca Chita Key Campground', 'languageCode': 'en'}"
"{'latitude': 25.981913, 'longitude': -80.17129899999999}","{'text': 'Embassy RV Park', 'languageCode': 'en'}"
"{'latitude': 26.288968999999998, 'longitude': -80.11762019999999}","{'text': 'Breezy Hill Resort', 'languageCode': 'en'}"
"{'latitude': 26.0160053, 'longitude': -80.3158971}","{'text': 'C.B. Smith Park', 'languageCode': 'en'}"
"{'latitude': 25.8576326, 'longitude': -80.3375035}","{'text': 'Polyhouse store', 'languageCode': 'pt'}"
"{'latitude': 25.4537468, 'longitude': -80.1955418}","{'text': 'Elliott Key Campgrounds', 'languageCode': 'en'}"
"{'latitude': 26.0123017, 'longitude': -80.2067015}","{'text': 'Hollywood KOA', 'languageCode': 'en'}"
"{'latitude': 25.834573199999998, 'longitude': -80.33427420000001}","{'text': 'National Yarda', 'languageCode': 'en'}"
"{'latitude': 26.0727445, 'longitude': -80.3356858}","{'text': 'Davie / Ft. Lauderdale KOA Holiday', 'languageCode': 'en'}"
"{'latitude': 25.6013752, 'longitude': -80.39451}","{'text': 'Larry and Penny Thompson Memorial Park and Campground', 'languageCode': 'en'}"
"{'latitude': 26.0160026, 'longitude': -80.3197739}","{'text': 'CB Smith County Campground', 'languageCode': 'en'}"
"{'latitude': 25.8576326, 'longitude': -80.3375035}","{'text': 'Polyhouse store', 'languageCode': 'pt'}"
"{'latitude': 25.5752202, 'longitude': -80.4517978}","{'text': 'Encore Miami Everglades', 'languageCode': 'en'}"
"{'latitude': 25.9827309, 'longitude': -80.339523}","{'text': 'Evans castle', 'languageCode': 'en'}"
"{'latitude': 25.9855317, 'longitude': -80.15329369999999}","{'text': 'Holiday Park', 'languageCode': 'en'}"
"{'latitude': 26.1712822, 'longitude': -80.16091159999999}","{'text': 'Easterlin Park', 'languageCode': 'en'}"
"{'latitude': 26.1281367, 'longitude': -80.3602276}","{'text': 'Markham Park Campground', 'languageCode': 'en'}"
"{'latitude': 26.174723999999998, 'longitude': -80.22615499999999}","{'text': 'Jrretreatllc', 'languageCode': 'en'}"
"{'latitude': 26.163673, 'longitude': -80.171486}","{'text': 'Paradise Island RV Resort', 'languageCode': 'en'}"
"{'latitude': 26.036721999999997, 'longitude': -80.1754023}","{'text': 'T.Y. (Topeekeegee Yugnee) Park', 'languageCode': 'en'}"
"{'latitude': 25.6889699, 'longitude': -80.1632616}","{'text': 'Lake Park', 'languageCode': 'en'}"
"{'latitude': 25.981913, 'longitude': -80.17129899999999}","{'text': 'Embassy RV Park', 'languageCode': 'en'}"
"{'latitude': 26.0160053, 'longitude': -80.3158971}","{'text': 'C.B. Smith Park', 'languageCode': 'en'}"
"{'latitude': 25.5248398, 'longitude': -80.17447370000001}","{'text': 'Boca Chita Key Campground', 'languageCode': 'en'}"
"{'latitude': 26.288968999999998, 'longitude': -80.11762019999999}","{'text': 'Breezy Hill Resort', 'languageCode': 'en'}"
"{'latitude': 25.9478707, 'longitude': -80.1562007}","{'text': 'Camp Greynolds', 'languageCode': 'en'}"
"{'latitude': 26.0123017, 'longitude': -80.2067015}","{'text': 'Hollywood KOA', 'languageCode': 'en'}"
"{'latitude': 26.0727445, 'longitude': -80.3356858}","{'text': 'Davie / Ft. Lauderdale KOA Holiday', 'languageCode': 'en'}"
"{'latitude': 26.0160026, 'longitude': -80.3197739}","{'text': 'CB Smith County Campground', 'languageCode': 'en'}"
"{'latitude': 25.6013752, 'longitude': -80.39451}","{'text': 'Larry and Penny Thompson Memorial Park and Campground', 'languageCode': 'en'}"
"{'latitude': 25.8576326, 'longitude': -80.3375035}","{'text': 'Polyhouse store', 'languageCode': 'pt'}"
"{'latitude': 25.9827309, 'longitude': -80.339523}","{'text': 'Evans castle', 'languageCode': 'en'}"
"{'latitude': 25.9855317, 'longitude': -80.15329369999999}","{'text': 'Holiday Park', 'languageCode': 'en'}"
"{'latitude': 26.1712822, 'longitude': -80.16091159999999}","{'text': 'Easterlin Park', 'languageCode': 'en'}"
"{'latitude': 26.1281367, 'longitude': -80.3602276}","{'text': 'Markham Park Campground', 'languageCode': 'en'}"
"{'latitude': 25.5752202, 'longitude': -80.4517978}","{'text': 'Encore Miami Everglades', 'languageCode': 'en'}"
"{'latitude': 26.174723999999998, 'longitude': -80.22615499999999}","{'text': 'Jrretreatllc', 'languageCode': 'en'}"
"{'latitude': 25.834573199999998, 'longitude': -80.33427420000001}","{'text': 'National Yarda', 'languageCode': 'en'}"
"{'latitude': 26.163673, 'longitude': -80.171486}","{'text': 'Paradise Island RV Resort', 'languageCode': 'en'}"
"{'latitude': 26.036721999999997, 'longitude': -80.1754023}","{'text': 'T.Y. (Topeekeegee Yugnee) Park', 'languageCode': 'en'}"
"{'latitude': 25.981913, 'longitude': -80.17129899999999}","{'text': 'Embassy RV Park', 'languageCode': 'en'}"
"{'latitude': 26.0160053, 'longitude': -80.3158971}","{'text': 'C.B. Smith Park', 'languageCode': 'en'}"
"{'latitude': 25.6889699, 'longitude': -80.1632616}","{'text': 'Lake Park', 'languageCode': 'en'}"
"{'latitude': 26.288968999999998, 'longitude': -80.11762019999999}","{'text': 'Breezy Hill Resort', 'languageCode': 'en'}"
"{'latitude': 25.9478707, 'longitude': -80.1562007}","{'text': 'Camp Greynolds', 'languageCode': 'en'}"
"{'latitude': 26.0757745, 'longitude': -80.33877849999999}","{'text': 'Camp Elmore', 'languageCode': 'en'}"
"{'latitude': 26.0123017, 'longitude': -80.2067015}","{'text': 'Hollywood KOA', 'languageCode': 'en'}"
"{'latitude': 26.0727445, 'longitude': -80.3356858}","{'text': 'Davie / Ft. Lauderdale KOA Holiday', 'languageCode': 'en'}"
"{'latitude': 26.0160026, 'longitude': -80.3197739}","{'text': 'CB Smith County Campground', 'languageCode': 'en'}"
"{'latitude': 25.9827309, 'longitude': -80.339523}","{'text': 'Evans castle', 'languageCode': 'en'}"
"{'latitude': 25.9855317, 'longitude': -80.15329369999999}","{'text': 'Holiday Park', 'languageCode': 'en'}"
"{'latitude': 25.6013752, 'longitude': -80.39451}","{'text': 'Larry and Penny Thompson Memorial Park and Campground', 'languageCode': 'en'}"
"{'latitude': 26.1712822, 'longitude': -80.16091159999999}","{'text': 'Easterlin Park', 'languageCode': 'en'}"
"{'latitude': 26.1281367, 'longitude': -80.3602276}","{'text': 'Markham Park Campground', 'languageCode': 'en'}"
"{'latitude': 26.174723999999998, 'longitude': -80.22615499999999}","{'text': 'Jrretreatllc', 'languageCode': 'en'}"
"{'latitude': 26.036721999999997, 'longitude': -80.1754023}","{'text': 'T.Y. (Topeekeegee Yugnee) Park', 'languageCode': 'en'}"
"{'latitude': 26.163673, 'longitude': -80.171486}","{'text': 'Paradise Island RV Resort', 'languageCode': 'en'}"
"{'latitude': 25.981913, 'longitude': -80.17129899999999}","{'text': 'Embassy RV Park', 'languageCode': 'en'}"
"{'latitude': 26.0160053, 'longitude': -80.3158971}","{'text': 'C.B. Smith Park', 'languageCode': 'en'}"
"{'latitude': 25.5752202, 'longitude': -80.4517978}","{'text': 'Encore Miami Everglades', 'languageCode': 'en'}"
"{'latitude': 25.9478707, 'longitude': -80.1562007}","{'text': 'Camp Greynolds', 'languageCode': 'en'}"
"{'latitude': 26.0757745, 'longitude': -80.33877849999999}","{'text': 'Camp Elmore', 'languageCode': 'en'}"
"{'latitude': 26.288968999999998, 'longitude': -80.11762019999999}","{'text': 'Breezy Hill Resort', 'languageCode': 'en'}"
"{'latitude': 26.0665718, 'longitude': -80.1115629}","{'text': 'Camp Live Oak', 'languageCode': 'en'}"
"{'latitude': 25.6889699, 'longitude': -80.1632616}","{'text': 'Lake Park', 'languageCode': 'en'}"
"{'latitude': 26.163428699999997, 'longitude': -80.1809668}","{'text': 'Sunshine Holiday MHCC RV and Camping Resort', 'languageCode': 'en'}"
"{'latitude': 26.0123017, 'longitude': -80.2067015}","{'text': 'Hollywood KOA', 'languageCode': 'en'}"
"{'latitude': 26.0727445, 'longitude': -80.3356858}","{'text': 'Davie / Ft. Lauderdale KOA Holiday', 'languageCode': 'en'}"
"{'latitude': 26.0160026, 'longitude': -80.3197739}","{'text': 'CB Smith County Campground', 'languageCode': 'en'}"
"{'latitude': 25.9827309, 'longitude': -80.339523}","{'text': 'Evans castle', 'languageCode': 'en'}"
"{'latitude': 25.9855317, 'longitude': -80.15329369999999}","{'text': 'Holiday Park', 'languageCode': 'en'}"
"{'latitude': 26.1712822, 'longitude': -80.16091159999999}","{'text': 'Easterlin Park', 'languageCode': 'en'}"
"{'latitude': 26.036721999999997, 'longitude': -80.1754023}","{'text': 'T.Y. (Topeekeegee Yugnee) Park', 'languageCode': 'en'}"
"{'latitude': 26.1281367, 'longitude': -80.3602276}","{'text': 'Markham Park Campground', 'languageCode': 'en'}"
"{'latitude': 26.174723999999998, 'longitude': -80.22615499999999}","{'text': 'Jrretreatllc', 'languageCode': 'en'}"
"{'latitude': 26.163673, 'longitude': -80.171486}","{'text': 'Paradise Island RV Resort', 'languageCode': 'en'}"
"{'latitude': 25.981913, 'longitude': -80.17129899999999}","{'text': 'Embassy RV Park', 'languageCode': 'en'}"
"{'latitude': 26.0160053, 'longitude': -80.3158971}","{'text': 'C.B. Smith Park', 'languageCode': 'en'}"
"{'latitude': 25.6013752, 'longitude': -80.39451}","{'text': 'Larry and Penny Thompson Memorial Park and Campground', 'languageCode': 'en'}"
"{'latitude': 25.9478707, 'longitude': -80.1562007}","{'text': 'Camp Greynolds', 'languageCode': 'en'}"
"{'latitude': 26.0757745, 'longitude': -80.33877849999999}","{'text': 'Camp Elmore', 'languageCode': 'en'}"
"{'latitude': 26.0665718, 'longitude': -80.1115629}","{'text': 'Camp Live Oak', 'languageCode': 'en'}"
"{'latitude': 26.288968999999998, 'longitude': -80.11762019999999}","{'text': 'Breezy Hill Resort', 'languageCode': 'en'}"
